no2_tropospheric_column,no2_stratospheric_column,quality_flag,latitude,longitude,time,solar_zenith_angle,no2_total_column,cloud_fraction,surface_pressure,filename
,,2.0,57.944714,-77.073975,2025-06-05 10:53:59.117849600,72.6507,,,,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
,,2.0,57.90894,-77.089165,2025-06-05 10:54:02.150927616,72.667786,,,,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
,,2.0,57.87269,-77.10458,2025-06-05 10:54:05.183994624,72.68513,,,,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
,,2.0,57.836494,-77.119934,2025-06-05 10:54:08.217064704,72.702446,,,,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
,,2.0,57.800365,-77.13522,2025-06-05 10:54:11.250134784,72.719734,,,,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
-65951392146974.12,3145992558319297.5,0.0,57.76429,-77.15045,2025-06-05 10:54:14.283208704,72.737,3282442363106735.0,1.0,1008.38745,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
821233599309897.5,3146343587106429.5,0.0,57.728275,-77.16562,2025-06-05 10:54:17.316275712,72.75424,3597868010572974.0,1.0,1008.38745,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
-305196907877989.0,3149428913920377.5,0.0,57.69232,-77.180725,2025-06-05 10:54:20.349351680,72.771454,3213222739119056.0,1.0,1008.38745,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
592511109523259.1,3151013470622791.0,0.0,57.65642,-77.19576,2025-06-05 10:54:23.382428672,72.78864,3514142903380719.0,1.0,1008.38745,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
800518226183584.2,3151575814063372.0,0.0,57.62058,-77.21075,2025-06-05 10:54:26.415494656,72.8058,3586740851823118.5,1.0,1007.0144,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
474946331886491.25,3155613659441368.5,0.0,57.584793,-77.22567,2025-06-05 10:54:29.448567552,72.82294,3485020126728152.0,1.0,1007.0144,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
242526346842114.12,3156487240474256.5,0.0,57.549065,-77.24053,2025-06-05 10:54:32.481661440,72.84004,3410304119776500.0,1.0,1007.0144,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
295855711980464.6,3156752329671449.5,0.0,57.513393,-77.25533,2025-06-05 10:54:35.514709504,72.85713,3427951092006777.0,1.0,1007.0144,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
732066236864171.9,3157349207948760.5,0.0,57.47778,-77.27007,2025-06-05 10:54:38.547780608,72.87418,3557937365750259.5,1.0,1007.0144,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1681715741930622.2,3157985992530427.5,0.0,57.44222,-77.28476,2025-06-05 10:54:41.580995584,72.89122,3880483132777721.5,1.0,1007.0144,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
293140901694840.5,3157478618349260.0,0.0,57.406715,-77.299385,2025-06-05 10:54:44.613923584,72.908226,3427832404286416.5,1.0,1007.0144,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1332204152240454.8,3155578651825948.0,0.0,57.371265,-77.31395,2025-06-05 10:54:47.646995456,72.92521,3623144999592150.0,1.0,1007.57916,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
679942387463085.9,3156225000898651.5,0.0,57.335876,-77.32846,2025-06-05 10:54:50.680063488,72.94216,3509653232144767.0,1.0,1007.57916,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
701179182444122.2,3155046721163679.5,0.0,57.300537,-77.342926,2025-06-05 10:54:53.713143552,72.9591,3513051997332808.5,1.0,1007.57916,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
267162416990166.44,3153395301421327.0,0.0,57.26525,-77.357315,2025-06-05 10:54:56.746210560,72.976006,3417007728263541.5,1.0,1007.57916,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
448268758031711.5,3153994116495689.0,0.0,57.230022,-77.37166,2025-06-05 10:54:59.779282688,72.99289,3457056018550381.5,1.0,1007.57916,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1106663998506095.8,3152301229169102.5,0.0,57.194847,-77.38594,2025-06-05 10:55:02.812365568,73.00975,3703610954249904.5,1.0,1006.9682,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
89366352760011.33,3151676005410993.5,0.0,57.15973,-77.40017,2025-06-05 10:55:05.845425664,73.02658,3365964629525740.0,1.0,1006.9682,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
639494805585657.6,3152335167983607.0,0.0,57.12466,-77.414345,2025-06-05 10:55:08.878488576,73.043396,3507792719589982.0,1.0,1007.4314,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
223573807207821.03,3150137661293541.5,0.0,57.089645,-77.42846,2025-06-05 10:55:11.911557632,73.06018,3419364575522523.5,1.0,1007.4314,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1709288462204155.2,3150016826262723.0,0.0,57.054688,-77.44252,2025-06-05 10:55:14.944631552,73.07694,3749080639133554.0,1.0,1007.4314,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
326376067112552.25,3150226051068244.5,0.0,57.01978,-77.456535,2025-06-05 10:55:17.977701632,73.09368,3443573921186995.0,1.0,1007.4314,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
588702319172354.1,3147461584299240.5,0.0,56.98492,-77.47049,2025-06-05 10:55:21.010772736,73.1104,3506719826897852.0,1.0,1007.4314,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
732224948467998.8,3147867163169452.0,0.0,56.95012,-77.48439,2025-06-05 10:55:24.043846656,73.12709,3543274589712610.0,1.0,1007.4314,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1410238121095837.8,3148305054490160.0,0.0,56.915363,-77.49824,2025-06-05 10:55:27.076922624,73.14375,3735732303364486.5,1.0,1007.4314,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
961905976513153.8,3145542190061874.0,0.0,56.880665,-77.51203,2025-06-05 10:55:30.109994752,73.1604,3611293719621974.0,1.0,1007.4314,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1166733937652110.2,3146176633414781.5,0.0,56.846016,-77.52579,2025-06-05 10:55:33.143066624,73.177025,3684637471003097.5,1.0,1007.7514,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1196519032788361.0,3146180698022034.5,0.0,56.81142,-77.539474,2025-06-05 10:55:36.176136448,73.19362,3692527399951583.5,1.0,1007.7514,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1313865339887463.8,3143378290122333.5,0.0,56.77687,-77.553116,2025-06-05 10:55:39.209207552,73.2102,3718385459349159.5,1.0,1007.7514,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
2003260637080563.0,3143772338296356.5,0.0,56.74238,-77.5667,2025-06-05 10:55:42.242279424,73.226746,3912873313261384.0,1.0,1007.7514,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1147079323703943.8,3143323768532294.0,0.0,56.707935,-77.58024,2025-06-05 10:55:45.275350528,73.24328,3689382788678810.5,1.0,1007.7514,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1010652813154970.8,3141153216939252.0,0.0,56.673542,-77.59373,2025-06-05 10:55:48.308566528,73.25978,3651700562725709.5,1.0,1007.7514,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1318783756203287.0,3141671641519825.0,0.0,56.6392,-77.60717,2025-06-05 10:55:51.341494528,73.27627,3732817553567221.5,1.0,1007.7514,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
873277523480026.0,3140837171885179.0,0.0,56.604904,-77.62055,2025-06-05 10:55:54.374574592,73.292725,3689033246059601.0,1.0,1008.0742,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
954202851286099.4,3138900430798727.5,0.0,56.570663,-77.63389,2025-06-05 10:55:57.407637504,73.309166,3645185011385964.5,1.0,1008.0768,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
954277818145050.6,3139230155578331.5,0.0,56.536465,-77.64717,2025-06-05 10:56:00.440699648,73.32558,3645707314186654.5,1.0,1008.0768,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
870250005648750.9,3138260987572009.0,0.0,56.502323,-77.66041,2025-06-05 10:56:03.473780736,73.34197,3624257938184066.0,1.0,1008.0768,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1057738283577365.9,3137240463995431.0,0.0,56.468224,-77.6736,2025-06-05 10:56:06.506859520,73.358345,3669043280259133.0,1.0,1008.0768,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1292713538739587.5,3137698832770868.5,0.0,56.43418,-77.686745,2025-06-05 10:56:09.539923712,73.374695,3738010478730722.5,1.0,1008.0768,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
555822562256692.56,3137470593051351.5,0.0,56.400185,-77.69984,2025-06-05 10:56:12.572996608,73.39102,3545910487028193.5,1.0,1008.0768,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
974373845455127.5,3137217615169307.5,0.0,56.366238,-77.712875,2025-06-05 10:56:15.606070528,73.40732,3747465336575463.5,1.0,1008.3887,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
458066319230688.94,3137658797140041.0,0.0,56.332336,-77.725876,2025-06-05 10:56:18.639138816,73.42361,3619384060923242.5,1.0,1008.3887,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
1075875810770470.2,3137310884561367.5,0.0,56.29848,-77.73882,2025-06-05 10:56:21.672209408,73.439865,3779043661646678.5,1.0,1008.3887,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
519651608124586.3,3136805550221896.5,0.0,56.26468,-77.751724,2025-06-05 10:56:24.705290496,73.45611,3634104269585356.5,1.0,1008.3887,TEMPO_NO2_L2_V03_20250605T105341Z_S001G04.nc
